Id,LotArea,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
51,13869,2,0,0,6,6,1997,1997,0,0,0,0,0,0,0,3,794,0,0,794,676,0,1,2,0,3,1,1,6,0,0,1997,2,388,0,0,75,0,0,0,0,7,2007,0,0,177000
52,6240,0,0,2,6,6,1934,1950,0,0,2,5,0,1,0,0,816,0,0,816,0,0,0,1,0,3,1,1,6,1,1,1985,2,528,0,112,0,0,0,0,0,9,2006,0,0,114500
53,8472,2,2,1,5,5,1963,1963,0,0,2,5,1,0,0,1,816,0,1,816,0,1,0,1,0,2,1,1,5,0,3,1963,2,516,0,106,0,0,0,0,0,5,2010,0,0,110000
54,50271,0,0,1,9,5,1981,1987,0,1,5,2,1,2,0,1,1842,0,0,1842,0,2,0,0,1,0,1,0,5,1,0,1981,3,894,0,857,72,0,0,0,0,11,2006,0,0,385000
55,7134,0,0,5,5,5,1955,1955,0,0,1,1,1,1,0,0,384,0,0,1360,0,0,0,1,0,3,1,1,6,1,1,1962,2,572,0,0,50,0,0,0,0,2,2007,0,0,130000
56,10175,0,0,1,6,5,1964,1964,0,0,3,4,1,1,0,0,1425,0,0,1425,0,0,0,2,0,3,1,1,7,1,0,1964,2,576,0,0,0,0,407,0,0,7,2008,0,0,180500
57,2645,0,4,0,8,5,1999,2000,0,0,1,1,0,0,0,0,970,0,0,983,756,1,0,2,1,3,1,0,7,0,0,1999,2,480,0,115,0,0,0,0,0,8,2009,0,1,172500
58,11645,2,0,0,7,5,2004,2004,0,0,0,0,0,0,0,0,860,0,0,860,860,0,0,2,1,3,1,0,7,0,0,2004,2,565,0,0,70,0,0,0,0,8,2006,0,0,196500
59,13682,3,0,0,10,5,2006,2006,1,0,0,0,0,2,0,1,1410,0,0,1426,1519,0,0,3,1,3,1,0,10,1,2,2006,3,641,0,192,0,37,0,0,0,10,2006,1,2,438780
60,7200,0,0,1,5,7,1972,1972,0,0,3,3,1,1,0,3,780,0,0,780,0,0,0,1,0,2,1,1,4,0,1,1973,1,352,0,196,0,0,0,0,0,1,2008,0,0,124900
61,13072,0,0,1,6,5,2004,2004,0,0,0,0,0,0,0,0,1158,0,0,1158,0,1,0,1,1,3,1,0,5,0,1,2006,2,576,0,0,50,0,0,0,0,5,2006,1,2,158000
62,7200,0,0,6,5,7,1920,1996,0,0,1,1,2,1,3,0,530,0,1,581,530,0,0,1,0,3,1,3,6,0,1,1935,1,288,1,0,0,144,0,0,0,3,2007,0,0,101000
63,6442,0,3,1,8,5,2006,2006,0,0,0,0,0,0,1,2,1370,0,0,1370,0,0,0,2,0,2,1,0,6,1,0,2006,2,484,0,120,49,0,0,0,0,10,2007,0,0,202500
64,10300,0,0,0,7,6,1921,1950,0,0,9,8,2,1,0,0,576,0,0,902,808,0,0,2,0,3,1,1,9,0,1,1990,2,480,0,12,11,64,0,0,0,4,2010,0,0,140000
65,9375,0,0,0,7,5,1997,1998,0,0,0,0,0,0,0,0,1057,0,0,1057,977,1,0,2,1,3,1,0,8,0,0,1998,2,645,0,576,36,0,0,0,0,2,2009,0,0,219500
66,9591,0,0,0,8,5,2004,2005,0,0,0,0,0,2,0,3,1143,0,0,1143,1330,0,0,2,1,4,1,0,9,1,2,2004,3,852,0,192,151,0,0,0,0,10,2007,0,0,317000
67,19900,0,0,1,7,5,1970,1989,0,0,7,4,1,0,0,1,1947,0,0,2207,0,1,0,2,0,3,1,1,7,1,0,1970,2,576,0,301,0,0,0,0,0,7,2010,0,0,180000
68,10665,0,0,1,7,5,2003,2003,0,0,0,0,0,0,0,3,1453,0,0,1479,0,1,0,2,0,3,1,0,7,0,0,2003,2,558,0,144,29,0,0,0,0,6,2007,0,0,226000
69,4608,2,0,1,4,6,1945,1950,0,0,1,1,1,1,0,0,747,0,0,747,0,0,0,1,0,2,1,1,4,0,0,1945,1,220,0,0,0,0,0,0,0,6,2010,0,0,80000
70,15593,2,0,2,7,4,1953,1953,0,0,4,9,1,1,0,0,1304,1,0,1304,983,0,0,2,0,3,1,1,7,1,0,1953,2,667,0,0,21,114,0,0,0,7,2006,0,0,225000
71,13651,0,0,1,7,6,1973,1973,0,0,7,4,1,0,0,1,2223,0,0,2223,0,1,0,2,0,3,1,1,8,2,0,1973,2,516,0,300,0,0,0,0,0,2,2007,0,0,244000
72,7599,2,0,1,4,6,1982,2006,0,0,3,4,1,1,0,0,845,0,0,845,0,1,0,1,0,2,1,1,4,0,1,1987,2,360,0,0,0,0,0,0,0,6,2007,0,0,129500
73,10141,2,0,0,7,5,1998,1998,0,0,0,0,0,0,0,0,832,0,0,885,833,0,0,2,1,3,1,1,7,1,0,1998,2,427,0,0,94,0,0,291,0,12,2009,0,0,185000
74,10200,0,0,1,5,7,1954,2003,0,0,2,5,1,1,0,0,1086,0,0,1086,0,1,0,1,0,3,1,1,6,0,0,1989,2,490,0,0,0,0,0,0,0,5,2010,0,0,144900
75,5790,2,0,0,3,6,1915,1950,2,0,0,0,1,4,0,0,840,0,1,840,765,0,0,2,0,3,2,1,8,0,1,1915,1,379,0,0,0,202,0,0,0,5,2010,0,0,107400
76,1596,0,4,5,4,5,1973,1973,0,0,6,6,1,0,0,1,462,0,0,526,462,1,0,1,0,2,1,1,5,0,2,1973,1,297,0,120,101,0,0,0,0,11,2009,0,0,91000
77,8475,0,0,1,4,7,1956,1956,0,0,0,0,1,1,0,0,952,0,0,952,0,0,0,1,0,2,1,1,4,0,1,1956,1,283,0,0,0,0,0,0,0,4,2008,0,0,135750
78,8635,0,0,2,5,5,1948,2001,0,0,2,5,1,1,0,0,672,0,0,1072,213,1,0,1,0,2,1,1,6,0,1,1948,1,240,0,0,0,0,0,0,0,1,2008,0,0,127000
79,10778,0,2,1,4,5,1968,1968,1,0,3,3,1,1,0,0,1768,0,1,1768,0,0,0,2,0,4,2,1,8,0,4,NA,0,0,0,0,0,0,0,0,0,4,2010,0,0,136500
80,10440,2,0,0,5,6,1910,1981,0,0,2,5,0,1,0,0,440,0,0,682,548,0,0,1,1,2,1,1,5,0,1,1966,2,440,0,74,0,128,0,0,0,5,2009,0,0,110000
81,13000,2,0,0,6,6,1968,1968,0,0,0,0,1,0,0,0,896,0,0,1182,960,0,0,2,1,4,1,0,8,1,0,1968,1,509,0,0,72,0,0,252,0,6,2009,0,0,193500
82,4500,1,3,1,6,5,1998,1998,1,0,0,0,0,2,1,0,1237,0,0,1337,0,1,0,2,0,2,1,1,5,0,0,1998,2,405,0,0,199,0,0,0,0,3,2006,0,0,153500
83,10206,0,0,1,8,5,2007,2007,0,0,0,0,0,0,0,0,1563,0,0,1563,0,0,0,2,0,3,1,0,6,1,0,2007,3,758,0,144,99,0,0,0,0,10,2008,0,0,245000
84,8892,0,0,1,5,5,1960,1960,0,0,1,1,1,1,0,0,1065,0,0,1065,0,0,0,1,1,3,1,1,6,0,1,1974,2,461,0,74,0,0,0,0,0,7,2007,2,0,126500
85,8530,0,0,5,7,5,1995,1996,0,0,3,3,0,0,0,0,384,0,0,804,670,0,0,2,1,3,1,1,7,1,2,1995,2,400,0,120,72,0,0,0,0,5,2009,0,0,168500
86,16059,2,0,0,8,5,1991,1992,1,0,3,3,1,0,0,0,1288,0,0,1301,1116,0,0,2,1,4,1,0,9,1,0,1991,2,462,0,127,82,0,0,0,0,4,2006,0,0,260000
87,11911,0,0,0,6,5,2005,2005,0,0,0,0,0,0,0,3,684,0,0,684,876,0,0,2,1,3,1,0,6,1,2,2005,2,400,0,100,38,0,0,0,0,3,2009,0,0,174000
88,3951,2,3,0,6,5,2009,2009,0,0,0,0,0,0,0,3,612,0,0,612,612,0,0,2,1,2,1,0,4,0,1,2009,2,528,0,0,234,0,0,0,0,6,2009,1,2,164500
89,8470,2,0,2,3,2,1915,1982,1,0,7,4,1,1,3,0,1013,0,1,1013,0,0,0,1,0,2,1,3,6,0,4,NA,0,0,1,0,0,156,0,0,0,10,2009,3,1,85000
90,8070,0,0,1,4,5,1994,1995,0,0,0,0,0,0,0,0,990,0,0,990,0,1,0,1,0,3,1,1,5,0,4,NA,0,0,0,0,0,0,0,0,0,8,2007,0,0,123600
91,7200,0,0,1,4,5,1950,1950,0,0,4,5,4,3,2,4,0,0,0,1040,0,0,0,1,0,2,1,1,4,0,1,1950,2,420,0,0,29,0,0,0,0,7,2006,0,0,109900
92,8500,0,0,1,5,3,1961,1961,1,0,3,3,1,1,0,0,1235,0,0,1235,0,0,0,1,0,2,1,1,6,0,0,1961,2,480,0,0,0,0,0,0,0,12,2006,0,1,98600
93,13360,0,0,1,5,7,1921,2006,0,0,2,5,2,0,0,0,876,0,0,964,0,1,0,1,0,2,1,1,5,0,1,1921,2,432,0,0,0,44,0,0,0,8,2009,0,0,163500
94,7200,2,1,6,6,6,1910,1998,1,0,1,1,2,1,3,2,1214,1,1,1260,1031,0,1,2,0,4,2,1,9,1,1,1900,2,506,0,0,0,0,0,99,0,11,2007,0,0,133900
95,9337,0,0,0,6,5,1997,1997,0,0,0,0,0,0,0,0,824,0,0,905,881,1,0,2,1,3,1,0,7,0,0,1997,2,684,0,0,162,0,0,0,0,5,2007,0,0,204750
96,9765,2,0,0,6,8,1993,1993,0,0,0,0,0,0,1,0,680,0,0,680,790,0,0,2,1,3,1,1,6,1,2,1993,2,420,0,232,63,0,0,0,0,4,2009,0,0,185000
97,10264,0,0,1,7,5,1999,1999,0,0,0,0,0,0,0,3,1588,0,0,1588,0,0,0,2,0,3,1,0,6,0,0,1999,2,472,0,158,29,0,0,0,0,8,2006,0,0,214000
98,10921,0,0,1,4,5,1965,1965,1,0,3,3,1,1,0,0,960,0,0,960,0,1,0,1,0,3,1,1,6,0,0,1965,1,432,2,120,0,0,0,0,0,5,2007,0,0,94750
99,10625,2,0,1,5,5,1920,1950,0,0,2,5,2,1,0,0,458,0,1,835,0,0,0,1,0,2,1,1,5,0,5,1920,1,366,0,0,0,77,0,0,0,5,2010,2,1,83000
100,9320,0,0,1,4,5,1959,1959,0,0,7,4,1,1,0,0,950,0,0,1225,0,1,0,1,1,3,1,1,6,0,4,NA,0,0,0,352,0,0,0,0,0,1,2010,0,0,128950
101,10603,0,0,1,6,7,1977,2001,0,0,7,4,0,1,0,2,1610,0,0,1610,0,1,0,2,0,3,1,0,6,2,0,1977,2,480,0,168,68,0,0,0,0,2,2010,0,0,205000
102,9206,0,0,0,6,5,1985,1985,0,0,3,3,1,0,0,0,741,0,0,977,755,0,0,2,1,3,1,0,7,1,0,1985,2,476,0,192,46,0,0,0,0,6,2010,0,0,178000
103,7018,0,2,1,5,5,1979,1979,0,0,3,3,4,3,2,4,0,0,0,1535,0,0,0,2,0,4,2,1,8,0,0,1979,2,410,0,0,0,0,0,0,0,6,2009,0,4,118964
104,10402,2,0,1,7,5,2009,2009,0,0,0,0,0,0,0,0,1226,0,0,1226,0,0,0,2,0,3,1,0,6,0,0,2009,3,740,0,0,36,0,0,0,0,5,2010,0,0,198900
105,7758,2,0,2,7,4,1931,1950,0,0,9,8,0,1,0,0,1040,0,0,1226,592,0,0,1,1,4,1,1,7,2,1,1951,1,240,0,0,0,0,0,184,0,6,2007,0,0,169500
106,9375,0,0,0,8,5,2003,2004,1,0,0,0,0,2,0,0,1053,0,0,1053,939,0,0,2,1,3,1,0,9,1,0,2003,2,648,0,140,45,0,0,0,0,8,2008,0,0,250000
107,10800,0,0,1,4,7,1885,1995,3,0,0,0,2,4,0,0,641,0,0,1047,0,0,0,1,0,2,1,1,6,0,1,1954,1,273,1,0,0,0,0,0,0,8,2007,0,0,100000
108,6000,0,0,1,5,5,1948,1950,0,0,0,0,1,1,0,0,789,0,0,789,0,0,0,1,0,2,1,1,5,0,1,1948,1,250,0,0,0,0,0,0,0,4,2008,0,2,115000
109,8500,2,0,2,5,7,1919,2005,0,0,6,6,1,1,0,0,793,1,1,997,520,0,0,2,0,3,1,3,7,0,4,NA,0,0,1,0,0,144,0,0,0,8,2007,0,0,115000
110,11751,0,0,1,6,6,1977,1977,1,0,7,4,1,0,0,0,1844,0,0,1844,0,0,0,2,0,3,1,1,7,1,0,1977,2,546,0,0,122,0,0,0,0,1,2010,2,0,190000
111,9525,0,0,2,6,4,1954,1972,0,0,2,5,1,1,3,0,994,0,0,1216,639,0,0,2,0,4,1,1,7,0,0,1954,1,325,0,182,0,0,0,0,0,10,2006,0,0,136900
112,7750,0,0,5,7,5,2000,2000,0,0,0,0,0,0,0,0,384,0,0,774,656,0,0,2,1,3,1,1,7,1,2,2000,2,400,0,180,0,0,0,0,0,4,2010,0,0,180000
113,9965,0,0,0,7,5,2007,2007,0,0,0,0,0,2,0,3,1264,0,0,1282,1414,1,0,2,1,4,1,2,10,1,2,2007,3,792,0,120,184,0,0,168,0,10,2007,1,2,383970
114,21000,2,0,1,6,5,1953,1953,1,0,2,5,1,0,0,2,1809,0,0,2259,0,1,0,2,0,3,1,0,7,2,5,1953,2,450,0,166,120,192,0,0,0,10,2007,2,1,217000
115,7259,0,0,0,6,8,1945,2002,2,0,2,5,1,1,0,0,1028,0,0,1436,884,1,0,2,1,3,1,0,9,1,1,1945,1,180,0,224,0,0,0,0,0,7,2007,0,0,259500
116,3230,2,3,0,6,5,1999,1999,0,0,1,1,0,0,0,0,729,0,0,729,729,0,0,2,1,2,1,1,5,1,1,1999,2,440,0,0,32,0,0,0,0,6,2007,0,0,176000
117,11616,0,0,1,5,5,1962,1962,0,0,2,5,1,1,0,0,1092,0,0,1092,0,0,1,1,0,3,1,1,6,1,0,1962,1,288,0,0,20,144,0,0,0,9,2009,0,0,139000
118,8536,2,0,1,5,5,2006,2007,0,0,0,0,0,0,0,0,1125,0,0,1125,0,0,0,1,1,2,1,1,5,0,0,2007,2,430,0,80,64,0,0,0,0,4,2007,1,2,155000
119,12376,2,0,0,7,5,1990,1990,1,0,7,4,0,0,0,2,1673,0,0,1699,1523,1,0,3,0,5,1,0,11,2,0,1990,3,594,0,367,0,0,0,0,0,5,2010,0,0,320000
120,8461,0,0,0,6,5,2005,2006,0,0,0,0,0,0,0,0,728,0,0,728,728,0,0,2,1,3,1,0,8,1,0,2005,2,390,0,0,24,0,0,0,0,7,2006,1,2,163990
121,21453,3,0,5,6,5,1969,1969,4,2,7,4,1,1,0,1,938,0,0,988,0,1,0,1,0,1,1,1,4,2,0,1969,2,540,0,0,130,0,130,0,0,10,2006,0,0,180000
122,6060,0,0,2,4,5,1939,1950,0,0,8,9,0,1,0,0,732,0,0,772,351,0,0,1,0,3,1,1,4,0,1,1979,1,264,2,0,0,140,0,0,0,6,2007,0,0,100000
123,9464,2,0,1,6,7,1958,1958,1,0,1,1,1,1,0,0,1080,0,0,1080,0,0,0,1,0,3,1,1,5,0,0,1958,1,288,0,0,0,0,0,130,0,6,2008,0,0,136000
124,7892,0,3,1,6,5,1993,1993,0,0,7,4,0,0,0,0,1199,0,0,1199,0,0,0,2,0,2,1,0,5,0,0,1993,2,530,0,0,63,0,0,0,0,3,2008,0,0,153900
125,17043,3,0,1,6,5,1979,1998,0,0,3,3,1,0,3,0,1362,0,0,1586,0,0,0,2,0,3,1,1,7,1,0,1979,2,435,0,192,0,0,0,0,0,1,2009,0,0,181000
126,6780,0,1,2,6,8,1935,1982,0,0,2,5,1,1,0,3,520,0,1,520,0,1,0,1,0,2,1,1,5,0,4,NA,0,0,1,53,0,0,0,0,0,6,2006,0,0,84500
127,4928,0,3,1,6,5,1976,1976,0,0,7,4,1,0,0,0,1078,0,0,958,0,0,0,2,0,2,1,1,5,1,0,1977,2,440,0,0,205,0,0,0,0,2,2007,0,0,128000
128,4388,0,0,3,5,7,1930,1950,0,0,5,5,2,1,0,0,672,0,0,840,0,0,0,1,0,3,1,1,5,1,4,NA,0,0,1,0,0,0,0,0,0,6,2007,0,0,87000
129,7590,0,0,0,6,5,1966,1966,0,0,0,0,1,1,0,0,660,0,0,660,688,0,0,1,1,3,1,1,6,1,0,1966,2,453,0,188,108,0,0,0,0,7,2006,0,0,155000
130,8973,0,0,1,5,7,1958,1991,0,0,7,4,1,1,0,0,1008,0,0,1053,0,0,1,1,1,3,1,2,6,0,6,1998,2,750,0,0,80,0,180,0,0,7,2006,0,1,150000
131,14200,2,0,0,7,6,1966,1966,0,0,1,1,1,1,0,0,924,0,0,1216,941,0,0,2,1,4,1,0,8,2,0,1966,2,487,0,105,66,0,0,0,0,5,2006,0,0,226000
